,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size
0,1,1,1.0684613933165867,0.5826833333333333,29.46373200416565,31.528728485107422,0.01,1000
1,1,2,0.6110135247310002,0.7631,24.64791750907898,56.38764309883118,0.01,1000
2,1,3,0.5241583665211995,0.8013666666666667,24.13444972038269,80.73309993743896,0.01,1000
3,1,4,0.4688624824086825,0.8283166666666667,24.402714014053345,105.34681582450867,0.01,1000
4,1,5,0.4271266763408979,0.84295,24.457037687301636,130.0378541946411,0.01,1000
5,2,1,1.2641596098740895,0.5227166666666667,27.27288794517517,30.677000045776367,0.01,2000
6,2,2,0.6662781496842702,0.7413333333333333,24.061217784881592,54.98922061920166,0.01,2000
7,2,3,0.5446465929349263,0.79005,25.70883059501648,80.91605186462402,0.01,2000
8,2,4,0.4865652700265249,0.8180833333333334,22.0160071849823,103.16806387901306,0.01,2000
9,2,5,0.44552764693895974,0.8357,25.265719890594482,128.66678667068481,0.01,2000
